Code,Name,Class,Gross,Issued,PctGrossVsIssuedPct,Date
29M,29METALS LIMITED,FPO,477388,1750076545,0.02727812114069559,2026-07-01
360,LIFE360 INC.,CDI 3:1,188441,180879363,0.10418048630567105,2026-07-01
4DX,4DMEDICAL LIMITED,FPO,1421182,597559121,0.23783119528352076,2026-07-01
A1M,AIC MINES LIMITED,FPO,229465,797619821,0.028768718374163872,2026-07-01
A1N,ARN MEDIA LIMITED,FPO,13286,313050373,0.0042440454143780875,2026-07-01
A2M,THE A2 MILK COMPANY LIMITED,FPO NZ,1010390,725426194,0.13928226032598984,2026-07-01
A4N,ALPHA HPA LIMITED,FPO,1357161,1451896391,0.09347505844168738,2026-07-01
AAA,BETASHARES AUSTRALIAN HIGH INTERE,ETF UNITS,345794,99457023,0.34768183238301836,2026-07-01
AAC,AUSTRALIAN AGRICULTURAL COMPANY L,FPO,2871,602766747,0.00047630364718842066,2026-07-01
AAI,ALCOA CORPORATION,CDI 1:1,163706,38131676,0.42931760985276385,2026-07-01
AAR,ASTRAL RESOURCES NL,FPO,81184,1801045606,0.004507603790239612,2026-07-01
ABB,AUSSIE BROADBAND LIMITED,FPO,113721,315425041,0.03605325678629301,2026-07-01
ABG,ABACUS GROUP,STAPLED,169193,893657633,0.01893264195954112,2026-07-01
ACE,ACUSENSUS LIMITED.,FPO,484,169397853,0.0002857179069441925,2026-07-01
ACF,ACROW LIMITED,FPO,37007,350654545,0.01055369181083907,2026-07-01
ACL,AUSTRALIAN CLINICAL LABS LIMITED,FPO,58205,186518985,0.031205938634075243,2026-07-01
AD8,AUDINATE GROUP LIMITED,FPO,6022,84328558,0.007141115824605942,2026-07-01
ADH,ADAIRS LIMITED,FPO,126456,178614627,0.07079823311446941,2026-07-01
ADO,ANTEOTECH LTD,FPO,894910,3259767301,0.027453186604009073,2026-07-01
AEBD,BETASHARES ETHICAL AUSTRALIAN COM,ETF UNITS,4754,1380022,0.3444872617972757,2026-07-01
AEE,AURA ENERGY LIMITED,FPO,8874,997441634,0.000889676117129075,2026-07-01
AEF,AUSTRALIAN ETHICAL INVESTMENT LIM,FPO,14707,113830079,0.012920135107698556,2026-07-01
AEG,ALAND EQUITY GROUP LIMITED,FPO,13810,743844257,0.0018565714354906956,2026-07-01
AEL,AMPLITUDE ENERGY LIMITED,FPO,114092,299880831,0.038045779591693876,2026-07-01
AESG,ISHARES GLOBAL AGGREGATE BOND ESG,ETF UNITS,5068,3655116,0.13865497018425682,2026-07-01
AEU,ATOMIC EAGLE LTD,FPO,11794,383310581,0.0030768782769396074,2026-07-01
AFG,AUSTRALIAN FINANCE GROUP LTD,FPO,73414,271760063,0.02701427104099545,2026-07-01
AFI,AUSTRALIAN FOUNDATION INVESTMENT,FPO,25350,1235650665,0.002051550710734251,2026-07-01
AGE,ALLIGATOR ENERGY LIMITED,FPO,8364677,4437034145,0.1885195544286261,2026-07-01
AGL,AGL ENERGY LIMITED.,FPO,842021,672747233,0.12516157015542864,2026-07-01
AGY,ARGOSY MINERALS LIMITED,FPO,238606,1543460934,0.015459153823973623,2026-07-01
AHL,ADRAD HOLDINGS LIMITED,FPO,334,81321356,0.0004107162207182084,2026-07-01
AI1,ADISYN LTD,FPO,175010,1177021259,0.014868890316279327,2026-07-01
AIA,AUCKLAND INTERNATIONAL AIRPORT LI,FPO NZX,540081,1699968803,0.0317700536060955,2026-07-01
AII,ALMONTY INDUSTRIES INC.,CDI 1:1,32,4714407,0.0006787704158762704,2026-07-01
AINF,GLOBAL X AI INFRASTRUCTURE ETF,ETF UNITS,20194,7695000,0.26243014944769333,2026-07-01
AIS,AERIS RESOURCES LIMITED,FPO,367682,1197168782,0.030712628455425262,2026-07-01
AIZ,AIR NEW ZEALAND LIMITED,FPO NZX,63851,3233562126,0.001974633469590558,2026-07-01
AKN,AUKING MINING LIMITED,FPO,87191,2131499657,0.004090594137027346,2026-07-01
AL3,AML3D LIMITED,FPO,36352,556528577,0.0065319197436289065,2026-07-01
ALA,AROVELLA THERAPEUTICS LIMITED,FPO,29893,1208851853,0.0024728423028690183,2026-07-01
ALC,ALCIDION GROUP LIMITED,FPO,5423,1343558756,0.00040362953802967145,2026-07-01
ALD,AMPOL LIMITED,FPO,137058,238302099,0.05751439058872913,2026-07-01
ALK,ALKANE RESOURCES LIMITED,FPO,479280,1366204821,0.03508112346208739,2026-07-01
ALL,ARISTOCRAT LEISURE LIMITED,FPO,304493,601792620,0.05059766269649501,2026-07-01
ALQ,ALS LIMITED,FPO,174493,507542553,0.03437997444127606,2026-07-01
AMA,AMA GROUP LIMITED,FPO,15229,481267050,0.003164355423875372,2026-07-01
AMC,AMCOR PLC,CDI 1:1,79509,144061333,0.055191076150878045,2026-07-01
AMI,AURELIA METALS LIMITED,FPO,84711,1693401832,0.00500241575267175,2026-07-01
AMP,AMP LIMITED,FPO,2386529,2432792139,0.09809835216669943,2026-07-01
AMU,AMERICAN URANIUM LTD,FPO,1691,129317264,0.0013076366972935647,2026-07-01
AMX,AEROMETREX LIMITED,FPO,668,94990639,0.0007032271885232817,2026-07-01
ANN,ANSELL LIMITED,FPO,84162,140780550,0.059782406021286316,2026-07-01
ANZ,ANZ GROUP HOLDINGS LIMITED,FPO,957802,3014198826,0.03177633776969695,2026-07-01
AOV,AMOTIV LIMITED,FPO,53020,133849962,0.039611516662216156,2026-07-01
