Code,Name,Class,Gross,Issued,PctGrossVsIssuedPct,Date
14D,1414 DEGREES LIMITED,FPO,871467,509734108,0.17096501613739373,2026-05-20
29M,29METALS LIMITED,FPO,909766,1750076545,0.051984354775750675,2026-05-20
360,LIFE360 INC.,CDI 3:1,362656,180930408,0.20043949715738218,2026-05-20
3DA,AMAERO LTD,FPO,41351,953255332,0.004337872405417608,2026-05-20
4DX,4DMEDICAL LIMITED,FPO,3391611,595004942,0.5700139209936176,2026-05-20
A11,ATLANTIC LITHIUM LIMITED,FPO,8126,801503291,0.0010138448701641075,2026-05-20
A1M,AIC MINES LIMITED,FPO,32018,797619821,0.004014193122715791,2026-05-20
A200,BETASHARES AUSTRALIA 200 ETF,ETF UNITS,8555,65784911,0.013004501898619274,2026-05-20
A2M,THE A2 MILK COMPANY LIMITED,FPO NZ,456248,725426194,0.06289378626986827,2026-05-20
A4N,ALPHA HPA LIMITED,FPO,1520051,1451896391,0.10469417855313065,2026-05-20
AAA,BETASHARES AUSTRALIAN HIGH INTERE,ETF UNITS,323494,103346405,0.31301911275965527,2026-05-20
AAC,AUSTRALIAN AGRICULTURAL COMPANY L,FPO,1834,602766747,0.00030426363251256125,2026-05-20
AAI,ALCOA CORPORATION,CDI 1:1,20137,37745799,0.05334898328685531,2026-05-20
AAR,ASTRAL RESOURCES NL,FPO,189746,1801045606,0.010535324556351073,2026-05-20
ABB,AUSSIE BROADBAND LIMITED,FPO,167963,293393955,0.05724828243308558,2026-05-20
ABG,ABACUS GROUP,STAPLED,452325,893657633,0.050615021155422726,2026-05-20
ACE,ACUSENSUS LIMITED.,FPO,784,169235550,0.000463259640187892,2026-05-20
ACF,ACROW LIMITED,FPO,31701,311561220,0.010174886335340451,2026-05-20
ACL,AUSTRALIAN CLINICAL LABS LIMITED,FPO,114997,187522403,0.0613244061297572,2026-05-20
ACW,ACTINOGEN MEDICAL LIMITED,FPO,1536,3591244255,4.27706914633129e-05,2026-05-20
AD8,AUDINATE GROUP LIMITED,FPO,17630,84328558,0.02090632215008349,2026-05-20
ADH,ADAIRS LIMITED,FPO,28981,178614627,0.01622543488557631,2026-05-20
AEE,AURA ENERGY LIMITED,FPO,46625,997440437,0.004674464586600673,2026-05-20
AEF,AUSTRALIAN ETHICAL INVESTMENT LIM,FPO,15179,113830079,0.013334788250476398,2026-05-20
AEG,ALAND EQUITY GROUP LIMITED,FPO,6424,717887779,0.0008948473825461236,2026-05-20
AEL,AMPLITUDE ENERGY LIMITED,FPO,46610,299880831,0.015542840749297508,2026-05-20
AESG,ISHARES GLOBAL AGGREGATE BOND ESG,ETF UNITS,1132,3585116,0.03157498948430121,2026-05-20
AEU,ATOMIC EAGLE LTD,FPO,6092,381739501,0.0015958526649826577,2026-05-20
AFG,AUSTRALIAN FINANCE GROUP LTD,FPO,75747,271760063,0.02787274891086554,2026-05-20
AFI,AUSTRALIAN FOUNDATION INVESTMENT,FPO,10277,1243982403,0.0008261370880501113,2026-05-20
AGE,ALLIGATOR ENERGY LIMITED,FPO,184600,4437034145,0.004160436768511729,2026-05-20
AGL,AGL ENERGY LIMITED.,FPO,231320,672747233,0.0343843851974639,2026-05-20
AGVT,BETASHARES AUSTRALIAN GOVERNMENT,ETF UNITS,1102,27834702,0.003959086754368702,2026-05-20
AGY,ARGOSY MINERALS LIMITED,FPO,42735,1543460934,0.0027687775607801684,2026-05-20
AI1,ADISYN LTD,FPO,442296,1042577509,0.04242332068185829,2026-05-20
AIA,AUCKLAND INTERNATIONAL AIRPORT LI,FPO NZX,151184,1699968803,0.008893339673834003,2026-05-20
AIH,ADVANCED INNERGY HOLDINGS LIMITED,FPO,1878,422343593,0.00044466165253275196,2026-05-20
AII,ALMONTY INDUSTRIES INC.,CDI 1:1,23,4992007,0.000460736533422329,2026-05-20
AINF,GLOBAL X AI INFRASTRUCTURE ETF,ETF UNITS,1393,6095000,0.022854799015586545,2026-05-20
AIS,AERIS RESOURCES LIMITED,FPO,750033,1197168782,0.06265056450494713,2026-05-20
AIZ,AIR NEW ZEALAND LIMITED,FPO NZX,57526,3233562126,0.0017790287540001945,2026-05-20
AKN,AUKING MINING LIMITED,FPO,125250,2023381866,0.00619013158636265,2026-05-20
AL3,AML3D LIMITED,FPO,78107,556528577,0.014034679121248433,2026-05-20
