Code,Name,Class,Gross,Issued,PctGrossVsIssuedPct,Date
29M,29METALS LIMITED,FPO,195166,1372336435,0.014221439803133989,2025-12-10
360,LIFE360 INC.,CDI 3:1,175496,172997298,0.10144435897490145,2025-12-10
3DA,AMAERO LTD,FPO,161561,952170061,0.0169676622504097,2025-12-10
4DS,4DS MEMORY LIMITED,FPO,1250,2060898718,6.0653150447541784e-05,2025-12-10
4DX,4DMEDICAL LIMITED,FPO,31674,516051633,0.006137757924699756,2025-12-10
A1G,AFRICAN GOLD LTD.,FPO,66974,533227972,0.012560106280395958,2025-12-10
A1M,AIC MINES LIMITED,FPO,20787,797619821,0.002606128816349964,2025-12-10
A1N,ARN MEDIA LIMITED,FPO,12125,313050373,0.003873178582668547,2025-12-10
A200,BETASHARES AUSTRALIA 200 ETF,ETF UNITS,40066,59257366,0.0676135351679317,2025-12-10
A2M,THE A2 MILK COMPANY LIMITED,FPO NZ,321490,725426194,0.044317396126448666,2025-12-10
A4N,ALPHA HPA LIMITED,FPO,125956,1137642930,0.011071663760086831,2025-12-10
AAA,BETASHARES AUSTRALIAN HIGH INTERE,ETF UNITS,4,94406098,4.237014435232775e-06,2025-12-10
AAC,AUSTRALIAN AGRICULTURAL COMPANY L,FPO,12354,602766747,0.0020495490272956283,2025-12-10
AAI,ALCOA CORPORATION,CDI 1:1,9039,57510240,0.015717200971513943,2025-12-10
AAM,AUMEGA METALS LTD,FPO,46550,789150363,0.005898749108222865,2025-12-10
AAR,ASTRAL RESOURCES NL,FPO,1955819,1475045606,0.1325937985947263,2025-12-10
ABB,AUSSIE BROADBAND LIMITED,FPO,194920,292576043,0.06662199611469898,2025-12-10
ABG,ABACUS GROUP,STAPLED,71194,893657633,0.007966585565996054,2025-12-10
ABY,ADORE BEAUTY GROUP LIMITED,FPO,988,93957928,0.0010515344697682137,2025-12-10
ACF,ACROW LIMITED,FPO,63420,311382672,0.020367221975666008,2025-12-10
ACL,AUSTRALIAN CLINICAL LABS LIMITED,FPO,91521,193858902,0.04721010954658146,2025-12-10
AD8,AUDINATE GROUP LIMITED,FPO,39252,84328558,0.04654650919087221,2025-12-10
ADH,ADAIRS LIMITED,FPO,141683,177337058,0.07989475048131225,2025-12-10
ADN,ANDROMEDA METALS LIMITED,FPO,52903,4616447901,0.00114596766029874,2025-12-10
ADV,ARDIDEN LTD,FPO,20691,214906395,0.009627912654716487,2025-12-10
AEBD,BETASHARES ETHICAL AUSTRALIAN COM,ETF UNITS,50,1220002,0.004098353937124693,2025-12-10
AEE,AURA ENERGY LIMITED,FPO,787415,896733047,0.08780929872432815,2025-12-10
AEF,AUSTRALIAN ETHICAL INVESTMENT LIM,FPO,35387,113830079,0.031087565176863317,2025-12-10
AEL,AMPLITUDE ENERGY LIMITED,FPO,330514,297939152,0.1109333895130372,2025-12-10
AFG,AUSTRALIAN FINANCE GROUP LTD,FPO,43007,271760063,0.015825356943635974,2025-12-10
AFI,AUSTRALIAN FOUNDATION INVESTMENT,FPO,872,1252983544,6.959389085161041e-05,2025-12-10
AGE,ALLIGATOR ENERGY LIMITED,FPO,2401521,4437034145,0.05412446516117581,2025-12-10
AGL,AGL ENERGY LIMITED.,FPO,329797,672747233,0.04902242384993949,2025-12-10
AGVT,BETASHARES AUSTRALIAN GOVERNMENT,ETF UNITS,6356,25751911,0.024681663430725587,2025-12-10
AGY,ARGOSY MINERALS LIMITED,FPO,352558,1535920934,0.022954176363872647,2025-12-10
AHX,APIAM ANIMAL HEALTH LIMITED,FPO,192417,185038793,0.10398738387793094,2025-12-10
AI1,ADISYN LTD,FPO,4064,725625596,0.0005600684460970971,2025-12-10
AIA,AUCKLAND INTERNATIONAL AIRPORT LI,FPO NZX,170586,1695129603,0.010063301336847694,2025-12-10
AII,ALMONTY INDUSTRIES INC.,CDI 1:1,59,6844174,0.0008620470490668413,2025-12-10
AINF,GLOBAL X AI INFRASTRUCTURE ETF,ETF UNITS,14070,2700000,0.5211111111111111,2025-12-10
AIS,AERIS RESOURCES LIMITED,FPO,204705,1149199948,0.017812827119967813,2025-12-10
AIZ,AIR NEW ZEALAND LIMITED,FPO NZX,538,3233562126,1.6637997942705987e-05,2025-12-10
AL3,AML3D LIMITED,FPO,10347,552528577,0.0018726633210864676,2025-12-10
ALD,AMPOL LIMITED,FPO,152286,238302099,0.06390459867497851,2025-12-10
ALK,ALKANE RESOURCES LIMITED,FPO,857822,1365794967,0.06280752387631254,2025-12-10
ALL,ARISTOCRAT LEISURE LIMITED,FPO,200564,616871882,0.03251307213902156,2025-12-10
ALQ,ALS LIMITED,FPO,137659,507199638,0.02714098940267777,2025-12-10
ALTB,ISHARES 15+ YEAR AUSTRALIAN GOVER,ETF UNITS,24235,1477130,1.64068159200612,2025-12-10
AMA,AMA GROUP LIMITED,FPO,23392,478573912,0.0048878552326939205,2025-12-10
AMC,AMCOR PLC,CDI 1:1,970155,697910317,0.13900854828601136,2025-12-10
AMI,AURELIA METALS LIMITED,FPO,133447,1692572640,0.007884270184114521,2025-12-10
AMP,AMP LIMITED,FPO,642162,2531739839,0.02536445451889893,2025-12-10
ANG,AUSTIN ENGINEERING LIMITED,FPO,192029,627084223,0.030622521338732514,2025-12-10
ANN,ANSELL LIMITED,FPO,34803,144213086,0.024133038800653636,2025-12-10
ANZ,ANZ GROUP HOLDINGS LIMITED,FPO,472573,2985860501,0.015827028752405874,2025-12-10
AOV,AMOTIV LIMITED,FPO,198988,133849962,0.14866496562770784,2025-12-10
APA,APA GROUP,STAPLED,248533,1315181016,0.01889724661293317,2025-12-10
APE,EAGERS AUTOMOTIVE LIMITED,FPO,136199,282364338,0.048235198879824547,2025-12-10
APX,APPEN LIMITED,FPO,10745,265610639,0.004045395184640928,2025-12-10
APZ,ASPEN GROUP,STAPLED,102005,227665433,0.044804781584914556,2025-12-10
AQLT,BETASHARES AUSTRALIAN QUALITY ETF,ETF UNITS,2598,24756547,0.010494193717726466,2025-12-10
AQZ,ALLIANCE AVIATION SERVICES LIMITE,FPO,9035,161027077,0.005610857607506593,2025-12-10
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,FPO,224770,1698808647,0.013231036962104656,2025-12-10
ARB,ARB CORPORATION LIMITED.,FPO,22169,83455453,0.026563872345165992,2025-12-10
ARD,ARGENT MINERALS LIMITED,FPO,31707,1681317572,0.0018858424207321616,2025-12-10
ARF,ARENA REIT.,STAPLED,123496,403504047,0.03060588881776445,2025-12-10
ARG,ARGO INVESTMENTS LIMITED,FPO,1844,760996574,0.00024231383727622407,2025-12-10
ARMR,BETASHARES GLOBAL DEFENCE ETF,ETF UNITS,12683,8504178,0.14913845876697313,2025-12-10
ART,AIRTASKER LIMITED,FPO,16734,486902442,0.0034368281110407736,2025-12-10
ARU,ARAFURA RARE EARTHS LTD,FPO,622854,3377693994,0.018440213977536535,2025-12-10
ARX,AROA BIOSURGERY LIMITED,FPO,2450,345033235,0.0007100765234978017,2025-12-10
ASB,AUSTAL LIMITED,FPO,126115,422050221,0.02988151497733726,2025-12-10
ASG,AUTOSPORTS GROUP LIMITED.,FPO,5163,202683304,0.0025473237795649905,2025-12-10
ASK,ABACUS STORAGE KING,STAPLED,193950,1314102962,0.01475911748230273,2025-12-10
ASL,ANDEAN SILVER LIMITED,FPO,541235,190474456,0.28415096247866434,2025-12-10
ASM,AUSTRALIAN STRATEGIC MATERIALS LI,FPO,34140,268054684,0.012736207213599745,2025-12-10
ASN,ANSON RESOURCES LIMITED,FPO,120300,1618523345,0.007432700947541785,2025-12-10
ASX,ASX LIMITED,FPO,91492,194299425,0.04708814758458498,2025-12-10
AT1,ATOMO DIAGNOSTICS LIMITED,FPO,52710,810175282,0.0065059995251743555,2025-12-10
ATA,ATTURRA LIMITED,FPO,8385,371893925,0.0022546751738415733,2025-12-10
ATOM,GLOBAL X URANIUM ETF,ETF UNITS,5679,4047234,0.1403180542563143,2025-12-10
ATX,AMPLIA THERAPEUTICS LIMITED,FPO,17566,513071629,0.0034236934975798478,2025-12-10
AUA,AUDEARA LIMITED,FPO,11700,180889146,0.00646804977452876,2025-12-10
AUB,AUB GROUP LIMITED,FPO,40586,116587434,0.034811641879003874,2025-12-10
AUC,AUSGOLD LIMITED,FPO,20973,495976833,0.004228624928535724,2025-12-10
AUE,AURUM RESOURCES LIMITED,FPO,85143,343821159,0.024763746433650986,2025-12-10
AUI,AUSTRALIAN UNITED INVESTMENT COMP,FPO,456,123997509,0.00036774932309325664,2025-12-10
AUMF,ISHARES EDGE MSCI AUSTRALIA MULTI,ETF UNITS,3908,3593240,0.1087597822577952,2025-12-10
AUR,AURIS MINERALS LIMITED,FPO,41000,1276625957,0.0032115906601451003,2025-12-10
AVL,AUSTRALIAN VANADIUM LIMITED,FPO,2846,346783060,0.000820685993139342,2025-12-10
AVM,ADVANCE METALS LIMITED,FPO,30092,389991489,0.007716065824195461,2025-12-10
AW1,AMERICAN WEST METALS LIMITED,FPO,113100,1007347841,0.011227502099743917,2025-12-10
