Code,Name,Class,Gross,Issued,PctGrossVsIssuedPct,Date
14D,1414 DEGREES LIMITED,FPO,1507079,509734108,0.2956598305562083,2026-05-14
29M,29METALS LIMITED,FPO,966775,1750076545,0.05524186943491663,2026-05-14
360,LIFE360 INC.,CDI 3:1,266642,180930408,0.14737268486124236,2026-05-14
3DA,AMAERO LTD,FPO,178752,953245960,0.018751928411005276,2026-05-14
4DX,4DMEDICAL LIMITED,FPO,4089363,592730213,0.6899197831172477,2026-05-14
A1M,AIC MINES LIMITED,FPO,92175,797619821,0.011556257451631208,2026-05-14
A200,BETASHARES AUSTRALIA 200 ETF,ETF UNITS,16962,65784911,0.02578402819455057,2026-05-14
A2M,THE A2 MILK COMPANY LIMITED,FPO NZ,1037753,725426194,0.14305424984419574,2026-05-14
A4N,ALPHA HPA LIMITED,FPO,1188848,1451896391,0.08188242682944998,2026-05-14
AAC,AUSTRALIAN AGRICULTURAL COMPANY L,FPO,588,602766747,9.755017225593567e-05,2026-05-14
AAI,ALCOA CORPORATION,CDI 1:1,37932,37745799,0.10049330257918239,2026-05-14
AAR,ASTRAL RESOURCES NL,FPO,262263,1801045606,0.014561707883814688,2026-05-14
AAU,ANTILLES GOLD LIMITED,FPO,143915,3278907322,0.004389114600293665,2026-05-14
ABB,AUSSIE BROADBAND LIMITED,FPO,108396,293393955,0.03694554647521624,2026-05-14
ABG,ABACUS GROUP,STAPLED,352334,893657633,0.03942606060636646,2026-05-14
ACF,ACROW LIMITED,FPO,10204,311561220,0.003275118771200087,2026-05-14
ACL,AUSTRALIAN CLINICAL LABS LIMITED,FPO,337391,187672403,0.17977656523106383,2026-05-14
AD8,AUDINATE GROUP LIMITED,FPO,3600,84328558,0.004269016434503718,2026-05-14
ADH,ADAIRS LIMITED,FPO,197057,178614627,0.11032523109095652,2026-05-14
AEE,AURA ENERGY LIMITED,FPO,55450,997440437,0.005559229197362087,2026-05-14
AEF,AUSTRALIAN ETHICAL INVESTMENT LIM,FPO,4616,113830079,0.00405516717597991,2026-05-14
AEL,AMPLITUDE ENERGY LIMITED,FPO,144375,299880831,0.04814412429049191,2026-05-14
AEM,ADVANCED ENERGY MINERALS LTD,FPO,610,365870869,0.00016672549024393632,2026-05-14
AESG,ISHARES GLOBAL AGGREGATE BOND ESG,ETF UNITS,3304,3585116,0.09215880322979786,2026-05-14
AEU,ATOMIC EAGLE LTD,FPO,14433,381739501,0.003780850543942006,2026-05-14
AFG,AUSTRALIAN FINANCE GROUP LTD,FPO,89504,271760063,0.03293493496135965,2026-05-14
AFI,AUSTRALIAN FOUNDATION INVESTMENT,FPO,5048,1243982403,0.0004057935215020883,2026-05-14
AGE,ALLIGATOR ENERGY LIMITED,FPO,63620,4437034145,0.001433840667457834,2026-05-14
AGL,AGL ENERGY LIMITED.,FPO,659238,672747233,0.09799193035105357,2026-05-14
AGVT,BETASHARES AUSTRALIAN GOVERNMENT,ETF UNITS,7804,27834702,0.02803694467431338,2026-05-14
AGY,ARGOSY MINERALS LIMITED,FPO,137560,1543460934,0.008912438077943605,2026-05-14
AI1,ADISYN LTD,FPO,446026,1041677509,0.042818050322328695,2026-05-14
AIA,AUCKLAND INTERNATIONAL AIRPORT LI,FPO NZX,119775,1699968803,0.007045717532499918,2026-05-14
AIH,ADVANCED INNERGY HOLDINGS LIMITED,FPO,5507,422343593,0.0013039146541522178,2026-05-14
AII,ALMONTY INDUSTRIES INC.,CDI 1:1,15387,4992007,0.30823274085953806,2026-05-14
AINF,GLOBAL X AI INFRASTRUCTURE ETF,ETF UNITS,54183,6095000,0.8889745693191141,2026-05-14
AIS,AERIS RESOURCES LIMITED,FPO,1406342,1197168782,0.11747232480039728,2026-05-14
AIZ,AIR NEW ZEALAND LIMITED,FPO NZX,81068,3233562126,0.002507080329403883,2026-05-14
AJL,AJ LUCAS GROUP LIMITED,FPO,14640,1375729630,0.0010641625854929068,2026-05-14
AL3,AML3D LIMITED,FPO,44470,556528577,0.00799060494606012,2026-05-14
ALD,AMPOL LIMITED,FPO,58071,238302099,0.024368648133476997,2026-05-14
ALFA,VANECK AUSTRALIAN LONG SHORT COMP,ETF UNITS,47,1305077,0.0036013200753672,2026-05-14
ALK,ALKANE RESOURCES LIMITED,FPO,627852,1366204821,0.045955920397092495,2026-05-14
ALL,ARISTOCRAT LEISURE LIMITED,FPO,795696,603066668,0.13194163136868972,2026-05-14
ALQ,ALS LIMITED,FPO,148820,507542553,0.029321679358774867,2026-05-14
ALR,ALTAIR MINERALS LIMITED,FPO,16250,6370668602,0.0002550752678439198,2026-05-14
AMA,AMA GROUP LIMITED,FPO,52732,481483688,0.010951980578831157,2026-05-14
AMC,AMCOR PLC,CDI 1:1,86164,144069449,0.05980726697996881,2026-05-14
AMI,AURELIA METALS LIMITED,FPO,254517,1693401832,0.015029923506070707,2026-05-14
AMP,AMP LIMITED,FPO,1354933,2531739839,0.05351786068726472,2026-05-14
ANG,AUSTIN ENGINEERING LIMITED,FPO,27371,623110874,0.00439263719220538,2026-05-14
ANN,ANSELL LIMITED,FPO,57199,141254950,0.040493448194204876,2026-05-14
ANR,ANATARA LIFESCIENCES LTD,FPO,11838,315950765,0.003746786307037427,2026-05-14
ANZ,ANZ GROUP HOLDINGS LIMITED,FPO,543141,3014198826,0.018019415153205955,2026-05-14
AOV,AMOTIV LIMITED,FPO,159777,133849962,0.11937022440096023,2026-05-14
APA,APA GROUP,STAPLED,900349,1323751413,0.06801496044937555,2026-05-14
APE,EAGERS AUTOMOTIVE LIMITED,FPO,78597,282364338,0.027835313962346054,2026-05-14
APX,APPEN LIMITED,FPO,445168,268019910,0.16609512330632453,2026-05-14
APZ,ASPEN GROUP,STAPLED,91889,227665433,0.04036141929372299,2026-05-14
AQI,ALICANTO MINERALS LIMITED,FPO,8498,161893186,0.005249140010129889,2026-05-14
AQLT,BETASHARES AUSTRALIAN QUALITY ETF,ETF UNITS,1205,34023328,0.0035416876326736764,2026-05-14
AQZ,ALLIANCE AVIATION SERVICES LIMITE,FPO,1515,161060848,0.0009406382859725164,2026-05-14
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,FPO,98291,2495026076,0.0039394778654008745,2026-05-14
ARB,ARB CORPORATION LIMITED.,FPO,230955,83660077,0.27606357570051004,2026-05-14
ARD,ARGENT MINERALS LIMITED,FPO,106527,1701131544,0.006262125958202794,2026-05-14
ARF,ARENA REIT.,STAPLED,129018,406635304,0.03172818462412698,2026-05-14
ARG,ARGO INVESTMENTS LIMITED,FPO,108,758823304,1.4232562367378216e-05,2026-05-14
ARL,ARDEA RESOURCES LIMITED,FPO,622,219714106,0.00028309516003492284,2026-05-14
ARR,AMERICAN RARE EARTHS LIMITED,FPO NZ,17747,574607799,0.0030885414418122094,2026-05-14
ARU,ARAFURA RARE EARTHS LTD,FPO,13342843,4680048385,0.28510053534414476,2026-05-14
ARX,AROA BIOSURGERY LIMITED,FPO,33139,345902653,0.009580441119079824,2026-05-14
ASB,AUSTAL LIMITED,FPO,201595,422050221,0.04776564256318681,2026-05-14
ASG,AUTOSPORTS GROUP LIMITED.,FPO,4662,213035696,0.002188365653049994,2026-05-14
ASK,ABACUS STORAGE KING,STAPLED,150784,1314102962,0.011474291159842923,2026-05-14
ASL,ANDEAN SILVER LIMITED,FPO,161970,212667063,0.07616130006930127,2026-05-14
ASM,AUSTRALIAN STRATEGIC MATERIALS LI,FPO,8611,271730693,0.003168946395025018,2026-05-14
ASN,ANSON RESOURCES LIMITED,FPO,605405,1619523345,0.03738167787880823,2026-05-14
