Code,Name,Class,Gross,Issued,PctGrossVsIssuedPct,Date
28BB,BETASHARES 2028 FIXED TERM CORP B,ETF UNITS,227,160004,0.14187145321366967,2025-09-11
29M,29METALS LIMITED,FPO,296719,1371336435,0.021637214065562255,2025-09-11
360,LIFE360 INC.,CDI 3:1,60980,170503887,0.03576458054589688,2025-09-11
3DA,AMAERO LTD,FPO,134633,930117491,0.014474837996568759,2025-09-11
3DP,POINTERRA LIMITED,FPO,21483,805076797,0.002668441082894605,2025-09-11
4DS,4DS MEMORY LIMITED,FPO,827250,2060898718,0.040140254966183155,2025-09-11
4DX,4DMEDICAL LIMITED,FPO,307267,482180586,0.0637244652566746,2025-09-11
5GN,5G NETWORKS LIMITED.,FPO,10501,297841762,0.0035256976488072214,2025-09-11
8CO,8COMMON LIMITED,FPO,34794,224094903,0.015526457556243482,2025-09-11
A1G,AFRICAN GOLD LTD.,FPO,81751,531377972,0.015384717528335931,2025-09-11
A1M,AIC MINES LIMITED,FPO,155441,797619821,0.019488106477233594,2025-09-11
A1N,ARN MEDIA LIMITED,FPO,10474,313050373,0.0033457874206078647,2025-09-11
A200,BETASHARES AUSTRALIA 200 ETF,ETF UNITS,9736,55734487,0.01746853792697509,2025-09-11
A2M,THE A2 MILK COMPANY LIMITED,FPO NZ,196088,725426194,0.027030730572157973,2025-09-11
A3D,AURORA LABS LIMITED,FPO,32700,399742346,0.008180269197699661,2025-09-11
A4N,ALPHA HPA LIMITED,FPO,296637,1137271758,0.026083211678593357,2025-09-11
AAA,BETASHARES AUSTRALIAN HIGH INTERE,ETF UNITS,20,84155303,2.3765584921012047e-05,2025-09-11
AAC,AUSTRALIAN AGRICULTURAL COMPANY L,FPO,2485,602766747,0.0004122656089387758,2025-09-11
AAI,ALCOA CORPORATION,CDI 1:1,4066,63005649,0.0064533896000341165,2025-09-11
AAR,ASTRAL RESOURCES NL,FPO,70303,1427814898,0.004923817512933669,2025-09-11
ABB,AUSSIE BROADBAND LIMITED,FPO,34685,292576043,0.01185503763204563,2025-09-11
ABG,ABACUS GROUP,STAPLED,87038,893657633,0.009739524039851177,2025-09-11
ACF,ACROW LIMITED,FPO,32981,308001571,0.010708062265046045,2025-09-11
ACL,AUSTRALIAN CLINICAL LABS LIMITED,FPO,21862,196391386,0.011131852799287236,2025-09-11
ACQ,ACORN CAPITAL INVESTMENT FUND LIM,FPO,445,89599002,0.0004966573176786054,2025-09-11
AD8,AUDINATE GROUP LIMITED,FPO,37121,84232169,0.044069861242680336,2025-09-11
ADH,ADAIRS LIMITED,FPO,50119,176742067,0.028357142615062888,2025-09-11
AEBD,BETASHARES ETHICAL AUSTRALIAN COM,ETF UNITS,1189,1080001,0.11009249065510125,2025-09-11
