Code,Name,Class,Gross,Issued,PctGrossVsIssuedPct,Date
29M,29METALS LIMITED,FPO,194988,1372336435,0.014208469222782094,2025-12-17
360,LIFE360 INC.,CDI 3:1,414370,172997298,0.23952397221834068,2025-12-17
3DA,AMAERO LTD,FPO,16356,952170061,0.0017177603739002667,2025-12-17
3DP,POINTERRA LIMITED,FPO,3038,805076797,0.0003773553046517623,2025-12-17
4DX,4DMEDICAL LIMITED,FPO,36,518859716,6.938291582459256e-06,2025-12-17
A1G,AFRICAN GOLD LTD.,FPO,44907,533227972,0.00842172623307166,2025-12-17
A1N,ARN MEDIA LIMITED,FPO,9839,313050373,0.003142944665969141,2025-12-17
A200,BETASHARES AUSTRALIA 200 ETF,ETF UNITS,18061,59257366,0.030478911263116217,2025-12-17
A2M,THE A2 MILK COMPANY LIMITED,FPO NZ,167131,725426194,0.0230390081558042,2025-12-17
A4N,ALPHA HPA LIMITED,FPO,439072,1141282930,0.038471792441511415,2025-12-17
AAC,AUSTRALIAN AGRICULTURAL COMPANY L,FPO,3318,602766747,0.0005504616863013513,2025-12-17
AAI,ALCOA CORPORATION,CDI 1:1,7019,57510240,0.012204783009078035,2025-12-17
AAR,ASTRAL RESOURCES NL,FPO,156869,1475045606,0.010634857618090488,2025-12-17
AAU,ANTILLES GOLD LIMITED,FPO,600000,3107301350,0.019309359872675368,2025-12-17
ABB,AUSSIE BROADBAND LIMITED,FPO,98981,292576043,0.03383086290493033,2025-12-17
ABG,ABACUS GROUP,STAPLED,58212,893657633,0.006513903966173588,2025-12-17
ABY,ADORE BEAUTY GROUP LIMITED,FPO,1780,93957928,0.0018944649354123689,2025-12-17
ACDC,GLOBAL X BATTERY TECH & LITHIUM E,ETF UNITS,1214,4843402,0.025065026607330964,2025-12-17
ACE,ACUSENSUS LIMITED.,FPO,5000,142188251,0.0035164649433658203,2025-12-17
ACF,ACROW LIMITED,FPO,13342,311382672,0.0042847599432250996,2025-12-17
ACL,AUSTRALIAN CLINICAL LABS LIMITED,FPO,427978,193269940,0.22144054062416535,2025-12-17
ACW,ACTINOGEN MEDICAL LIMITED,FPO,25553,3182678236,0.0008028772657871657,2025-12-17
AD8,AUDINATE GROUP LIMITED,FPO,79002,84328558,0.0936835656551841,2025-12-17
ADH,ADAIRS LIMITED,FPO,34935,177337058,0.019699774200607298,2025-12-17
AEBD,BETASHARES ETHICAL AUSTRALIAN COM,ETF UNITS,2,1220002,0.00016393415748498772,2025-12-17
AEE,AURA ENERGY LIMITED,FPO,98517,896733047,0.010986212711752553,2025-12-17
AEF,AUSTRALIAN ETHICAL INVESTMENT LIM,FPO,7480,113830079,0.006571198110123424,2025-12-17
AEL,AMPLITUDE ENERGY LIMITED,FPO,115830,297939152,0.03887706574394761,2025-12-17
AESG,ISHARES GLOBAL AGGREGATE BOND ESG,ETF UNITS,4897,3345068,0.14639463233632322,2025-12-17
AFG,AUSTRALIAN FINANCE GROUP LTD,FPO,4482,271760063,0.0016492489553183538,2025-12-17
AFI,AUSTRALIAN FOUNDATION INVESTMENT,FPO,2251,1252983544,0.000179651202186898,2025-12-17
AGE,ALLIGATOR ENERGY LIMITED,FPO,4426581,4437034145,0.09976441143659488,2025-12-17
AGL,AGL ENERGY LIMITED.,FPO,298329,672747233,0.04434488695994384,2025-12-17
AGY,ARGOSY MINERALS LIMITED,FPO,234220,1535920934,0.015249482887769533,2025-12-17
AHN,ATHENA RESOURCES LIMITED,FPO,300000,2265957003,0.013239439212783685,2025-12-17
AI1,ADISYN LTD,FPO,245135,725625596,0.03378257345817222,2025-12-17
AIA,AUCKLAND INTERNATIONAL AIRPORT LI,FPO NZX,356433,1695129603,0.021026887818441337,2025-12-17
AIM,AI-MEDIA TECHNOLOGIES LIMITED,FPO,4571,208814047,0.0021890289784958768,2025-12-17
AINF,GLOBAL X AI INFRASTRUCTURE ETF,ETF UNITS,17497,2700000,0.6480370370370371,2025-12-17
AIS,AERIS RESOURCES LIMITED,FPO,222289,1149199948,0.019342935090352092,2025-12-17
AL3,AML3D LIMITED,FPO,180528,552528577,0.032673061179965,2025-12-17
ALD,AMPOL LIMITED,FPO,273013,238302099,0.11456592331568174,2025-12-17
ALK,ALKANE RESOURCES LIMITED,FPO,1020597,1365794967,0.07472549135554107,2025-12-17
ALL,ARISTOCRAT LEISURE LIMITED,FPO,108724,616871882,0.017625053624992428,2025-12-17
ALQ,ALS LIMITED,FPO,263277,507199638,0.05190796291538362,2025-12-17
ALY,ALCHEMY RESOURCES LIMITED,FPO,32480,1188076256,0.0027338312533366545,2025-12-17
AMA,AMA GROUP LIMITED,FPO,49023,478573912,0.010243558783872867,2025-12-17
AMC,AMCOR PLC,CDI 1:1,811263,697910317,0.11624172622741154,2025-12-17
AMI,AURELIA METALS LIMITED,FPO,55659,1692572640,0.003288426073104904,2025-12-17
AMP,AMP LIMITED,FPO,608424,2531739839,0.024031853140183572,2025-12-17
ANG,AUSTIN ENGINEERING LIMITED,FPO,39673,627084223,0.006326582386366305,2025-12-17
ANN,ANSELL LIMITED,FPO,66962,144213086,0.046432679486520384,2025-12-17
ANR,ANATARA LIFESCIENCES LTD,FPO,203750,313590339,0.06497330263736219,2025-12-17
ANZ,ANZ GROUP HOLDINGS LIMITED,FPO,396708,2985860501,0.013286220165581675,2025-12-17
AOF,AUSTRALIAN UNITY OFFICE FUND,FPO,1,164383437,6.083337946024331e-07,2025-12-17
AOV,AMOTIV LIMITED,FPO,21935,133849962,0.016387752131001725,2025-12-17
APA,APA GROUP,STAPLED,204670,1315181016,0.015562116355852265,2025-12-17
APE,EAGERS AUTOMOTIVE LIMITED,FPO,45803,282364338,0.016221241083213562,2025-12-17
APX,APPEN LIMITED,FPO,61489,265610639,0.02315005160617832,2025-12-17
APZ,ASPEN GROUP,STAPLED,19045,227665433,0.008365345476052133,2025-12-17
AQLT,BETASHARES AUSTRALIAN QUALITY ETF,ETF UNITS,45896,24756547,0.18538934367543258,2025-12-17
AQZ,ALLIANCE AVIATION SERVICES LIMITE,FPO,3413,161027077,0.0021195193153757614,2025-12-17
ARB,ARB CORPORATION LIMITED.,FPO,18102,83455453,0.021690613793684636,2025-12-17
ARF,ARENA REIT.,STAPLED,44273,403504047,0.01097213282720805,2025-12-17
ARG,ARGO INVESTMENTS LIMITED,FPO,1711,760996574,0.00022483675465272203,2025-12-17
ARR,AMERICAN RARE EARTHS LIMITED,FPO NZ,39465,573607799,0.006880136579175068,2025-12-17
ARU,ARAFURA RARE EARTHS LTD,FPO,1207153,4656673628,0.02592307506245529,2025-12-17
ARX,AROA BIOSURGERY LIMITED,FPO,20,345033235,5.796543048961646e-06,2025-12-17
ASB,AUSTAL LIMITED,FPO,330440,422050221,0.07829399999295344,2025-12-17
ASG,AUTOSPORTS GROUP LIMITED.,FPO,4137,202683304,0.002041115335281884,2025-12-17
ASIA,BETASHARES ASIA TECHNOLOGY TIGERS,ETF UNITS,24783,64026318,0.03870752024191052,2025-12-17
ASK,ABACUS STORAGE KING,STAPLED,123772,1314102962,0.009418744465169236,2025-12-17
ASL,ANDEAN SILVER LIMITED,FPO,92131,208090673,0.04427444953287262,2025-12-17
ASM,AUSTRALIAN STRATEGIC MATERIALS LI,FPO,8473,268054684,0.003160922194517593,2025-12-17
ASN,ANSON RESOURCES LIMITED,FPO,137449,1618523345,0.00849224698702137,2025-12-17
ASX,ASX LIMITED,FPO,396295,194299425,0.20396097415110725,2025-12-17
AT4,AMERICAN TUNGSTEN & ANTIMONY LTD,FPO,46812,1268972564,0.0036889686450305324,2025-12-17
ATEC,BETASHARES S&P/ASX AUSTRALIAN TEC,ETF UNITS,1507,15068784,0.010000806966242266,2025-12-17
AUA,AUDEARA LIMITED,FPO,70118,180889146,0.03876296701627416,2025-12-17
AUB,AUB GROUP LIMITED,FPO,28280,116587434,0.024256473472089625,2025-12-17
AUC,AUSGOLD LIMITED,FPO,37072,495976833,0.007474542666794278,2025-12-17
AUDS,BETASHARES STRONG AUSTRALIAN DOLL,ETF UNITS,8369,5171408,0.16183213546484826,2025-12-17
AUE,AURUM RESOURCES LIMITED,FPO,14121,345954265,0.004081753407491595,2025-12-17
AUMF,ISHARES EDGE MSCI AUSTRALIA MULTI,ETF UNITS,5249,3593240,0.14607986107245827,2025-12-17
AVM,ADVANCE METALS LIMITED,FPO,182552,389991489,0.04680922664955901,2025-12-17
AX1,ACCENT GROUP LIMITED,FPO,518732,601185674,0.0862848238795524,2025-12-17
AYA,ARTRYA LIMITED,FPO,17255,158084017,0.010915081946582873,2025-12-17
AYLD,GLOBAL X S&P/ASX 200 COVERED CALL,ETF UNITS,12988,8593243,0.15114200773794015,2025-12-17
AZJ,AURIZON HOLDINGS LIMITED,FPO,862083,1750443988,0.049249390777992716,2025-12-17
AZY,ANTIPA MINERALS LIMITED,FPO,254710,662410219,0.03845200341029159,2025-12-17
B4P,BEFOREPAY GROUP LIMITED,FPO,1680,49796881,0.003373705272826224,2025-12-17
BAP,BAPCOR LIMITED,FPO,708438,339412500,0.20872478179206716,2025-12-17
BBN,BABY BUNTING GROUP LIMITED,FPO,33016,135400726,0.024383916523460884,2025-12-17
BBOZ,BETASHARES AUS EQUITIES STRONG BE,ETF UNITS,7888,8782870,0.08981118928095258,2025-12-17
BC8,BLACK CAT SYNDICATE LIMITED,FPO,906506,727016125,0.12468856863388003,2025-12-17
BCI,BCI MINERALS LIMITED,FPO,19436,2887513061,0.0006731051804582642,2025-12-17
BCN,BEACON MINERALS LIMITED,FPO,955,108876984,0.0008771367142205188,2025-12-17
BEMG,BETASHARES MSCI EMERGING MARKETS,ETF UNITS,4982,275061,1.8112345988707959,2025-12-17
BEN,BENDIGO AND ADELAIDE BANK LIMITED,FPO,369044,567991670,0.06497348807949947,2025-12-17
BFG,BELL FINANCIAL GROUP LIMITED,FPO,19450,320743948,0.006064027122344955,2025-12-17
BGA,BEGA CHEESE LIMITED,FPO,29701,305377396,0.009725998187501736,2025-12-17
BGBL,BETASHARES GLOBAL SHARES ETF,ETF UNITS,658,40558781,0.001622336726540179,2025-12-17
BGD,BARTON GOLD HOLDINGS LIMITED,FPO,29976,238489810,0.012569090478121476,2025-12-17
BGL,BELLEVUE GOLD LIMITED,FPO,1698099,1480748913,0.11467838909701769,2025-12-17
BHM,BROKEN HILL MINES LIMITED,FPO,45201,153262219,0.029492591386791812,2025-12-17
BHP,BHP GROUP LIMITED,FPO,675939,5078913175,0.013308733122810276,2025-12-17
BHYB,BETASHARES AUSTRALIAN MAJOR BANK,ETF UNITS,99938,64068546,0.15598605905618648,2025-12-17
BIO,BIOME AUSTRALIA LIMITED,FPO,16129,222609231,0.007245431794335609,2025-12-17
BIS,BISALLOY STEEL GROUP LIMITED,FPO,5032,48041013,0.01047438362717289,2025-12-17
BKB,BLACK BEAR MINERALS LIMITED,FPO,19666,148742117,0.013221541011144812,2025-12-17
BKT,BLACK ROCK MINING LIMITED,FPO,631600,2147724265,0.029407871871299084,2025-12-17
BLX,BEACON LIGHTING GROUP LIMITED,FPO,2333,229342146,0.0010172574211457846,2025-12-17
BM1,BALLARD MINING LIMITED,FPO,24474,222044810,0.011022099548284871,2025-12-17
BML,BOAB METALS LIMITED,FPO,472979,404228439,0.11700784862393118,2025-12-17
BMN,BANNERMAN ENERGY LTD,FPO,187422,207655700,0.09025613070096318,2025-12-17
BNKS,BETASHARES GLOBAL BANKS CURRENCY,ETF UNITS,3319,11111311,0.02987046263037728,2025-12-17
BNZ,BENZ MINING CORP.,CDI 1:1,250,207343353,0.0001205729512824074,2025-12-17
BOQ,BANK OF QUEENSLAND LIMITED.,FPO,102657,661469455,0.01551953748189325,2025-12-17
BOT,BOTANIX PHARMACEUTICALS LTD,FPO,913113,1970659977,0.046335390714640774,2025-12-17
BPT,BEACH ENERGY LIMITED,FPO,1780001,2281333656,0.07802457984690338,2025-12-17
BRE,BRAZILIAN RARE EARTHS LIMITED,FPO,9973,138358008,0.007208111871630878,2025-12-17
BRG,BREVILLE GROUP LIMITED,FPO,64706,144834480,0.04467582581164375,2025-12-17
BRK,BROOKSIDE ENERGY LIMITED,FPO,3061,96244914,0.0031804277990211513,2025-12-17
BRN,BRAINCHIP HOLDINGS LTD,FPO,662447,2252751810,0.029406124414566557,2025-12-17
BSL,BLUESCOPE STEEL LIMITED,FPO,299414,438295308,0.06831330259186803,2025-12-17
BSUB,BETASHARES AUS MAJOR BANK SUBORDI,ETF UNITS,28074,17581315,0.15968088848871656,2025-12-17
BTC,BTC HEALTH LTD,FPO,9530,357454456,0.002666073912364377,2025-12-17
BTL,BEETALOO ENERGY AUSTRALIA LIMITED,FPO,67811,1242851680,0.005456081452937329,2025-12-17
BTR,BRIGHTSTAR RESOURCES LIMITED,FPO,2011,707311582,0.000284316000356403,2025-12-17
BTXX,DIGITALX BITCOIN ETF,ETF UNITS,1387,1634510,0.08485723550177117,2025-12-17
BVR,BELLAVISTA RESOURCES LTD,FPO,2702,101807555,0.002654027002220022,2025-12-17
BVS,BRAVURA SOLUTIONS LIMITED.,FPO,125486,448299975,0.02799152509432997,2025-12-17
BWN,BHAGWAN MARINE LIMITED,FPO,6484,275200238,0.0023561026135449784,2025-12-17
BWP,BWP GROUP,STAPLED,314938,724378588,0.043476989134858306,2025-12-17
BXB,BRAMBLES LIMITED,FPO,277488,1359113690,0.020416835033131037,2025-12-17
BXN,BIOXYNE LIMITED,FPO,46360,2195428732,0.002111660438996204,2025-12-17
C79,CHRYSOS CORPORATION LIMITED,FPO,34153,116476297,0.02932184562838566,2025-12-17
CAR,CAR GROUP LIMITED,FPO,383753,378433785,0.1014055867131419,2025-12-17
CAT,CATAPULT SPORTS LTD,FPO,435178,307101856,0.14170477693238037,2025-12-17
CBA,COMMONWEALTH BANK OF AUSTRALIA.,FPO,395605,1673462358,0.023639910279953845,2025-12-17
CBO,COBRAM ESTATE OLIVES LIMITED,FPO,86221,477411191,0.018060112880764038,2025-12-17
CCL,CUSCAL LIMITED,FPO,10505,191562253,0.005483856989299452,2025-12-17
CCP,CREDIT CORP GROUP LIMITED,FPO,145669,68066856,0.21400870931955487,2025-12-17
CCV,CASH CONVERTERS INTERNATIONAL,FPO,6438,709510610,0.0009073860079414457,2025-12-17
CDA,CODAN LIMITED,FPO,19704,181868837,0.010834181559098,2025-12-17
