Date,Code,Gross_num,PctGrossVsIssuedPct_num
2026-04-29,ARU,8943055,0.19108894319689818
2026-04-29,GEM,7452665,0.9659231979034442
2026-04-29,IMM,3233005,0.21937696000168977
2026-04-29,CWY,3002772,0.1339799623798266
2026-04-29,AIS,2040821,0.17047061623095347
2026-04-29,ORG,1920954,0.11150524434521206
2026-04-29,AGL,1905147,0.28318912461435575
2026-04-29,ZIP,1873183,0.14903236643690315
2026-04-29,29M,1856958,0.10610724458340764
2026-04-29,4DX,1647319,0.2789368952117002
2026-04-29,LYC,1383932,0.13749910136842192
2026-04-29,BOQ,1377283,0.20821566129610625
2026-04-29,FFM,1365524,0.1776208208204125
2026-04-29,MTS,1346625,0.12245093848395207
2026-04-29,WHC,1269666,0.15394975710953335
2026-04-29,AI1,1058226,0.12686650608429476
2026-04-29,VAS,1031402,0.46816295201978153
2026-04-29,ARF,1012190,0.2498487063755486
2026-04-29,CSC,876082,0.5023050893512527
2026-04-29,NXT,823083,0.1284360232614598
2026-04-29,OML,808587,0.15155826064430308
2026-04-29,WEB,700207,0.19347645367295735
2026-04-29,LOT,568551,0.2080940230351974
2026-04-29,PNR,551749,0.1403363450775724
2026-04-29,GDG,533805,0.13347877565941954
2026-04-29,MGH,522571,0.14462299502825746
2026-04-29,EML,447651,0.11521868813347455
2026-04-29,SLM,431570,0.16446923705568856
2026-04-29,CYL,428439,0.16418746742225473
2026-04-29,MYX,404050,0.49731784993708045
2026-04-29,CU6,401303,0.10780236322772777
2026-04-29,ELV,372783,0.22009098284203327
2026-04-29,APX,321941,0.1201183150908453
2026-04-29,MP1,315367,0.17731584372364
2026-04-29,IEL,309596,0.1112309458002933
2026-04-29,COH,256578,0.3923290134857613
2026-04-29,DIFF,244292,0.9577881903789279
2026-04-29,EOS,241793,0.1253124486611571
2026-04-29,SUBD,226724,0.159848645067979
2026-04-29,TLS,5980491,0.053220446691534536
2026-04-29,PDI,3990239,0.08155566788738752
2026-04-29,SIG,3574620,0.030965973836854576
2026-04-29,VCX,3206064,0.06909119976498462
2026-04-29,LTR,3161692,0.09945208121717436
2026-04-29,S32,2784316,0.062060065775249765
2026-04-29,MEK,2316821,0.07864592438680036
2026-04-29,SCG,2242388,0.04293313872396612
2026-04-29,CXO,2199189,0.07540627918873777
2026-04-29,EQR,2195607,0.04335983732527858
2026-04-29,BHP,1988496,0.03913290128080514
2026-04-29,PLS,1930551,0.059936395054265026
2026-04-29,SGP,1710504,0.07034351715057421
2026-04-29,MEI,1657441,0.06263005227235063
2026-04-29,MPL,1645965,0.059766269556022746
2026-04-29,DTR,1622307,0.04288265518350155
2026-04-29,STO,1549785,0.04771839099007759
2026-04-29,QAN,1427149,0.09431335448052378
2026-04-29,BPT,1415269,0.06203691407777136
2026-04-29,TAH,1408124,0.06141921112635954
2026-04-29,NIC,1354379,0.03119297564476352
2026-04-29,RMS,1329252,0.06999682332592674
2026-04-29,MYR,1305277,0.07541700803700566
2026-04-29,RSG,1298951,0.060771979799344907
2026-04-29,TCL,1280251,0.041031269142532356
2026-04-29,EVN,1247005,0.06139583510502113
2026-04-29,NST,1210648,0.08459423367046122
2026-04-29,WBC,1157001,0.03382743858735066
2026-04-29,PRU,1154314,0.08573482404917036
2026-04-29,EUR,1146178,0.06678551122648554
2026-04-29,MGR,1116698,0.028300495673640836
2026-04-29,AUZ,1103581,0.05379480613689079
2026-04-29,IAG,1095145,0.046598076738924334
2026-04-29,NAB,1050793,0.0342545978306332
2026-04-29,SVL,1041466,0.048377449655817396
2026-04-29,VEA,941738,0.05733491606465587
2026-04-29,REE,930405,0.07671542762037535
2026-04-29,SGQ,927224,0.023592887226015852
2026-04-29,AZJ,911603,0.05415547174342024
2026-04-29,FMG,901139,0.02926759557187004
2026-04-29,EDV,899829,0.050109491306470834
2026-04-29,ANZ,886405,0.02940764863797343
2026-04-29,SMI,881753,0.08944900344932952
2026-04-29,DYL,879826,0.09018940985667068
2026-04-29,TCG,879072,0.0834159384764639
2026-04-29,WDS,842175,0.04429934967397454
2026-04-29,NEC,812806,0.051256489747800595
2026-04-29,VAU,803422,0.07765788567774119
2026-04-29,AMI,800996,0.047300999967265896
2026-04-29,GMG,797662,0.03900942471715265
2026-04-29,SBM,776331,0.06417041296192698
2026-04-29,CMW,737851,0.02817443897704852
2026-04-29,AMP,737124,0.02911531385038177
2026-04-29,YAL,720921,0.054597051542016314
2026-04-29,BGL,714770,0.04795004234170471
2026-04-29,SUN,704581,0.06506021318431834
2026-04-29,TLC,699139,0.03141108313389318
2026-04-29,DRO,696035,0.07540168877011813
2026-04-29,RML,695457,0.03315790943919204
2026-04-29,QOR,664368,0.048344766751912696
2026-04-29,OBM,653649,0.033916610681991255
2026-04-29,IGO,652711,0.08619288827478529
2026-04-29,WC8,629629,0.0464050522408821
2026-04-29,SYR,616300,0.026735956710985206
2026-04-29,GPT,611913,0.03194404937209977
2026-04-29,AW1,596611,0.059225917376041715
2026-04-29,CBA,589778,0.03524297975276
2026-04-29,BXB,589185,0.043689295799374375
2026-04-29,RWC,587718,0.07856784979411208
2026-04-29,BAP,584594,0.08689577485664064
2026-04-29,COL,573075,0.042666700664524174
2026-04-29,DNL,571805,0.032570385465660365
2026-04-29,GGP,554666,0.08242839025608766
2026-04-29,DXS,553614,0.051614691408766525
2026-04-29,DGT,550964,0.09954107985699591
2026-04-29,BML,548440,0.09515676132564384
2026-04-29,ORA,546511,0.04460066198993511
2026-04-29,BTR,543303,0.0494914245840432
2026-04-29,KAR,520704,0.07322513456625297
2026-04-29,WAF,518484,0.04538095291794668
2026-04-29,SGR,508603,0.007664066593012739
2026-04-29,A4N,503533,0.034681055970749365
2026-04-29,DRE,492160,0.008596380912457206
2026-04-29,APA,481516,0.03637510753690127
2026-04-29,AAR,480038,0.026653295085965745
2026-04-29,MAH,479762,0.022262884330499107
