Date,Code,Gross_num,PctGrossVsIssuedPct_num
2026-09-21,EQR,42391799,0.8201522742305395
2026-09-21,CXO,36298644,1.1214355332214758
2026-09-21,WC8,6519679,0.46232876703828946
2026-09-21,PLS,5366932,0.1663676553264192
2026-09-21,RSG,4007723,0.1875030399124909
2026-09-21,TLC,3946530,0.17731063768492883
2026-09-21,EIQ,3658445,0.4938007209447738
2026-09-21,LTR,3652344,0.11442248678044827
2026-09-21,MI6,3501086,0.15410220988012635
2026-09-21,LIN,3475012,0.18789979209459964
2026-09-21,CWY,3053244,0.13619049961201923
2026-09-21,EUR,2591948,0.14970859212619622
2026-09-21,JDO,1808754,0.16115722885467582
2026-09-21,MYR,1748503,0.1010259621549514
2026-09-21,CBE,1569621,0.12773419822095544
2026-09-21,ZIP,1387886,0.11139431044324884
2026-09-21,ORE,932516,2.683884987672761
2026-09-21,NHC,914185,0.10834489151629154
2026-09-21,SXE,907390,0.29413963846177027
2026-09-21,WHC,885030,0.10770454403028827
2026-09-21,VUL,845290,0.17659480602019798
2026-09-21,BNZ,785842,0.23549690993652714
2026-09-21,PDN,767632,0.1708284443166138
2026-09-21,TLX,698380,0.20547092356947086
2026-09-21,ELV,655955,0.3380931995056965
2026-09-21,IPX,607456,0.16769427083103428
2026-09-21,INA,491161,0.12050568396252893
2026-09-21,AYA,428111,0.2619479426809238
2026-09-21,XRO,402230,0.23570600673344608
2026-09-21,ELS,401440,0.18034428597521915
2026-09-21,LKY,400000,0.1064606159770253
2026-09-21,NAN,385956,0.1291207625989545
2026-09-21,WTC,354265,0.10534100247191934
2026-09-21,IEL,282527,0.10150565712773894
2026-09-21,MAF,282315,0.1415965917389655
2026-09-21,EOS,269650,0.12162714046965405
2026-09-21,GLIN,255854,0.43379718415858154
2026-09-21,VMC,221418,0.10687683541155113
2026-09-21,CCL,212591,0.10639518217815862
2026-09-21,BHYB,200000,0.2933921013359888
2026-09-21,TLS,5194486,0.046632753965990696
2026-09-21,ARU,4664649,0.07681604526473827
2026-09-21,VCX,4646961,0.09928413906914912
2026-09-21,MGR,2876280,0.07289361107137263
2026-09-21,X2M,2552529,0.09838048790416316
2026-09-21,AMP,1942353,0.07984048323990413
2026-09-21,VKA,1820767,0.07246420864170573
2026-09-21,FRS,1778522,0.07309948968568417
2026-09-21,SGR,1711786,0.0257946608592299
2026-09-21,NMG,1610595,0.014782604118608714
2026-09-21,SIG,1445130,0.012518773399928847
2026-09-21,NEC,1355984,0.08550992487036468
2026-09-21,BPT,1213434,0.053189676872062074
2026-09-21,MAH,1110587,0.0515356987838887
2026-09-21,GML,1106011,0.03832070555239975
2026-09-21,AMI,1082732,0.06293181972282202
2026-09-21,WBC,1063117,0.031082535822067978
2026-09-21,TCL,953209,0.030546165417802022
2026-09-21,GMD,923322,0.07858412420529771
2026-09-21,MTS,900899,0.08192030300139529
2026-09-21,S32,900505,0.020071500336506808
2026-09-21,DYL,898332,0.09220799941315799
2026-09-21,STO,895419,0.02757024615797951
2026-09-21,TAH,892155,0.03891380041987587
2026-09-21,LYC,867822,0.08622153772565896
2026-09-21,A4N,867614,0.05975729434814747
2026-09-21,DNL,867321,0.04952302705646855
2026-09-21,BTR,840304,0.07610208887140071
2026-09-21,29M,832700,0.047580775959716666
2026-09-21,FFM,755835,0.08688995903744294
2026-09-21,ETM,754087,0.03426888477459671
2026-09-21,MKR,714699,0.039839170354198046
2026-09-21,ANZ,712466,0.0236235054090364
2026-09-21,AZJ,707793,0.04204775961870534
2026-09-21,SGP,698150,0.028711026983084163
2026-09-21,WDS,696336,0.03662805468528125
2026-09-21,MEK,661079,0.021311770862404864
2026-09-21,CY5,655952,0.051581795097976335
2026-09-21,GLN,643646,0.05077928197563862
2026-09-21,PYC,616499,0.06268352327934144
2026-09-21,AR1,609983,0.022976118732560686
2026-09-21,SDF,608039,0.054680177861914626
2026-09-21,QAN,606156,0.04005790964958555
2026-09-21,BGL,605238,0.04057908364697592
2026-09-21,GMG,593675,0.02889274491468198
2026-09-21,EVN,582395,0.028485263584591976
2026-09-21,HVN,581687,0.04668410061315772
2026-09-21,KAR,579952,0.08310395102720185
2026-09-21,NIC,578523,0.013324079780427435
2026-09-21,KGL,568984,0.025050026993021595
2026-09-21,NXT,558905,0.07357627127528896
2026-09-21,BHP,557217,0.01095981526752499
2026-09-21,SCG,540214,0.010330277572998368
2026-09-21,MPL,538788,0.01956381140640924
2026-09-21,SGQ,532597,0.011334841465115146
2026-09-21,NTI,529363,0.03275619322134744
2026-09-21,ASN,524929,0.032330752586897035
2026-09-21,FMG,524806,0.017044884043073076
2026-09-21,ALK,511837,0.03746414828380993
2026-09-21,VEA,491206,0.029905615766227286
2026-09-21,TCG,483752,0.04477179284499638
2026-09-21,WGX,476586,0.05048089410657715
2026-09-21,SBM,471552,0.038460841072949704
2026-09-21,DRR,470133,0.08878708332099873
2026-09-21,RRL,463309,0.06106645846532619
2026-09-21,CRS,457232,0.05246832815316766
2026-09-21,CIA,454527,0.08115873548181023
2026-09-21,USL,454382,0.07074221553287391
2026-09-21,CBA,453657,0.027108885827714566
2026-09-21,AUZ,450445,0.020462329268608487
2026-09-21,RWC,436104,0.05829964977525184
2026-09-21,NAB,426314,0.013674968624980912
